compare,timestampA,timestampB,hungarian
0,2007-01-24_09-14-09,2007-01-24_09-32-19,0.8097578097578096
1,2007-01-24_09-32-19,2007-01-24_09-32-42,0.8224366273146763
2,2007-01-24_09-32-42,2007-01-24_12-16-08,0.8045784143345117
3,2007-01-24_12-16-08,2007-01-24_14-34-35,0.7978237978237976
4,2007-01-24_14-34-35,2007-01-24_14-50-27,0.8241814753442661
5,2007-01-24_14-50-27,2007-01-24_23-53-22,0.7329866864750586
6,2007-01-24_23-53-22,2007-01-26_09-03-23,0.7377864122050166
7,2007-01-26_09-03-23,2007-01-27_13-44-53,0.7778646415010051
8,2007-01-27_13-44-53,2007-01-29_23-56-13,0.8142633228840123
9,2007-01-29_23-56-13,2007-02-02_01-17-52,0.769935224480679
10,2007-02-02_01-17-52,2007-02-02_16-06-02,0.7685392003573821
11,2007-02-02_16-06-02,2007-02-04_17-11-25,0.7728359636537544
12,2007-02-04_17-11-25,2007-02-04_17-21-55,0.8217957914873266
13,2007-02-04_17-21-55,2007-02-04_17-24-53,0.8484681372549021
14,2007-02-04_17-24-53,2007-02-06_19-28-50,0.769806763285024
15,2007-02-06_19-28-50,2007-02-14_13-20-29,0.7780255171559519
16,2007-02-14_13-20-29,2007-02-27_21-15-08,0.7633852483103144
17,2007-02-27_21-15-08,2007-03-05_19-55-30,0.7751831501831502
18,2007-03-05_19-55-30,2007-03-09_16-56-38,0.8087797619047619
19,2007-03-09_16-56-38,2007-03-10_16-58-49,0.7304421768707482
20,2007-03-10_16-58-49,2007-03-19_20-28-03,0.8110917537746805
21,2007-03-19_20-28-03,2007-03-24_15-37-57,0.8008226638085856
22,2007-03-24_15-37-57,2007-03-25_21-50-18,0.8060946642720584
23,2007-03-25_21-50-18,2007-03-27_22-01-31,0.7987370372516076
24,2007-03-27_22-01-31,2007-03-28_15-00-27,0.7861045130641332
25,2007-03-28_15-00-27,2007-03-28_16-46-03,0.7775842044134723
26,2007-03-28_16-46-03,2007-03-28_16-48-40,0.7187608368974685
27,2007-03-28_16-48-40,2007-03-28_20-35-13,0.7526956120625035
28,2007-03-28_20-35-13,2007-04-01_01-18-20,0.7848699763593382
29,2007-04-01_01-18-20,2007-04-01_19-10-36,0.8013593380614654
30,2007-04-01_19-10-36,2007-04-04_23-41-35,0.7041471962616822
31,2007-04-04_23-41-35,2007-04-05_13-16-39,0.7511015911872706
32,2007-04-05_13-16-39,2007-04-05_20-26-28,0.8199510403916769
33,2007-04-05_20-26-28,2007-04-09_13-04-50,0.8000000000000002
34,2007-04-09_13-04-50,2007-04-10_23-03-30,0.7642450142450145
35,2007-04-10_23-03-30,2007-04-10_23-32-37,0.7753584389315247
36,2007-04-10_23-32-37,2007-04-13_10-00-12,0.7378456801089595
37,2007-04-13_10-00-12,2007-04-15_08-43-23,0.714080459770115
38,2007-04-15_08-43-23,2007-04-28_16-48-04,0.7806192660550458
39,2007-04-28_16-48-04,2007-04-28_16-48-27,0.7558743093151757
40,2007-04-28_16-48-27,2007-05-02_21-39-29,0.7524697214935534
41,2007-05-02_21-39-29,2007-05-02_22-04-38,0.7888869330516927
42,2007-05-02_22-04-38,2007-05-08_17-27-17,0.796577275935074
43,2007-05-08_17-27-17,2007-05-08_17-52-17,0.7808750882145377
44,2007-05-08_17-52-17,2007-05-15_23-57-46,0.7532534246575343
45,2007-05-15_23-57-46,2007-05-18_09-45-36,0.7916095890410958
46,2007-05-18_09-45-36,2007-05-20_21-51-38,0.772716894977169
47,2007-05-20_21-51-38,2007-05-21_23-30-54,0.7905982905982905
48,2007-05-21_23-30-54,2007-05-26_11-59-01,0.8172930570190845
49,2007-05-26_11-59-01,2007-05-30_00-29-55,0.8148281663061766
50,2007-05-30_00-29-55,2007-06-07_13-22-56,0.7987355110642785
51,2007-06-07_13-22-56,2007-06-08_08-02-53,0.7604072398190046
52,2007-06-08_08-02-53,2007-06-08_13-05-39,0.7375
53,2007-06-08_13-05-39,2007-06-10_15-08-44,0.7684092518291241
54,2007-06-10_15-08-44,2007-06-10_17-11-59,0.7637583892617449
55,2007-06-10_17-11-59,2007-06-10_18-04-54,0.7782438478747205
56,2007-06-10_18-04-54,2007-06-11_16-31-55,0.7594572368421053
57,2007-06-11_16-31-55,2007-06-12_08-12-33,0.7401556776556777
58,2007-06-12_08-12-33,2007-06-12_22-04-57,0.7364438153310104
59,2007-06-12_22-04-57,2007-06-13_07-34-15,0.7451789885382151
60,2007-06-13_07-34-15,2007-06-15_23-43-11,0.75625980206587
61,2007-06-15_23-43-11,2007-06-16_00-30-52,0.8047158076902277
62,2007-06-16_00-30-52,2007-06-16_13-37-59,0.7902544609861683
63,2007-06-16_13-37-59,2007-06-16_13-56-51,0.7877204096716293
64,2007-06-16_13-56-51,2007-06-17_19-09-05,0.756541019955654
65,2007-06-17_19-09-05,2007-06-19_11-24-47,0.7619179600886918
66,2007-06-19_11-24-47,2007-06-19_13-46-24,0.7927640473743983
67,2007-06-19_13-46-24,2007-06-19_22-22-57,0.7249622274983811
68,2007-06-19_22-22-57,2007-06-20_15-23-03,0.8082789939450394
69,2007-06-20_15-23-03,2007-06-21_12-41-59,0.720777472675389
70,2007-06-21_12-41-59,2007-07-01_17-05-57,0.7491135704308585
71,2007-07-01_17-05-57,2007-07-14_22-07-14,0.7517306482064191
72,2007-07-14_22-07-14,2007-07-15_19-27-48,0.7581288021816659
73,2007-07-15_19-27-48,2007-07-19_21-49-30,0.7336473050758769
74,2007-07-19_21-49-30,2007-07-20_21-28-41,0.7859236002093146
75,2007-07-20_21-28-41,2007-07-23_14-03-30,0.7546968619884229
76,2007-07-23_14-03-30,2007-08-02_22-23-47,0.7923733116685284
77,2007-08-02_22-23-47,2007-08-12_21-05-49,0.7442162050005189
78,2007-08-12_21-05-49,2007-08-13_14-10-24,0.706361672884351
79,2007-08-13_14-10-24,2007-08-14_16-45-29,0.78334533237341
80,2007-08-14_16-45-29,2007-08-15_20-05-37,0.7892736892736893
81,2007-08-15_20-05-37,2007-08-21_10-26-55,0.8062840687030753
82,2007-08-21_10-26-55,2007-08-21_10-58-18,0.7568486590038314
83,2007-08-21_10-58-18,2007-08-25_18-25-24,0.693839703273666
84,2007-08-25_18-25-24,2007-09-02_22-12-07,0.8183357522980163
85,2007-09-02_22-12-07,2007-09-08_16-51-19,0.7990405117270788
86,2007-09-08_16-51-19,2007-09-15_13-28-30,0.7590321234876929
87,2007-09-15_13-28-30,2007-09-21_13-43-28,0.6848495964783565
88,2007-09-21_13-43-28,2007-09-21_22-35-18,0.7920052712497255
89,2007-09-21_22-35-18,2007-09-22_20-51-41,0.8440248710949348
90,2007-09-22_20-51-41,2007-09-29_22-26-01,0.7896545068519593
91,2007-09-29_22-26-01,2007-10-07_17-06-01,0.7998530132288091
92,2007-10-07_17-06-01,2007-10-07_17-06-26,0.7764138197259218
93,2007-10-07_17-06-26,2007-10-07_20-46-34,0.8133950974715306
94,2007-10-07_20-46-34,2007-10-13_03-36-03,0.8208453966415751
95,2007-10-13_03-36-03,2007-10-14_04-48-44,0.8127269975786925
96,2007-10-14_04-48-44,2007-10-14_04-55-59,0.7695974576271187
