compare,timestampA,timestampB,hungarian
0,2007-01-24_09-14-09,2007-01-24_09-32-19,0.7826781326781326
1,2007-01-24_09-32-19,2007-01-24_09-32-42,0.7927927927927927
2,2007-01-24_09-32-42,2007-01-24_12-16-08,0.8097051597051598
3,2007-01-24_12-16-08,2007-01-24_14-34-35,0.7898363995924974
4,2007-01-24_14-34-35,2007-01-24_14-50-27,0.7508239947264339
5,2007-01-24_14-50-27,2007-01-24_23-53-22,0.7298495835081202
6,2007-01-24_23-53-22,2007-01-26_09-03-23,0.7590939054353689
7,2007-01-26_09-03-23,2007-01-27_13-44-53,0.7275519320973868
8,2007-01-27_13-44-53,2007-01-29_23-56-13,0.7817957904164797
9,2007-01-29_23-56-13,2007-02-02_01-17-52,0.7444717444717445
10,2007-02-02_01-17-52,2007-02-02_16-06-02,0.771378917720381
11,2007-02-02_16-06-02,2007-02-04_17-11-25,0.7893950263032042
12,2007-02-04_17-11-25,2007-02-04_17-21-55,0.7922237076648844
13,2007-02-04_17-21-55,2007-02-04_17-24-53,0.7432040998217471
14,2007-02-04_17-24-53,2007-02-06_19-28-50,0.7348886532343586
15,2007-02-06_19-28-50,2007-02-14_13-20-29,0.7759816672860151
16,2007-02-14_13-20-29,2007-02-27_21-15-08,0.7252438324727479
17,2007-02-27_21-15-08,2007-03-05_19-55-30,0.6967719780219781
18,2007-03-05_19-55-30,2007-03-09_16-56-38,0.7379206730769232
19,2007-03-09_16-56-38,2007-03-10_16-58-49,0.7405357142857143
20,2007-03-10_16-58-49,2007-03-19_20-28-03,0.7855311355311353
21,2007-03-19_20-28-03,2007-03-24_15-37-57,0.7173396674584323
22,2007-03-24_15-37-57,2007-03-25_21-50-18,0.756801986611963
23,2007-03-25_21-50-18,2007-03-27_22-01-31,0.7669833729216152
24,2007-03-27_22-01-31,2007-03-28_15-00-27,0.7628966441317986
25,2007-03-28_15-00-27,2007-03-28_16-46-03,0.7553113553113553
26,2007-03-28_16-46-03,2007-03-28_16-48-40,0.7469923441487423
27,2007-03-28_16-48-40,2007-03-28_20-35-13,0.77171606958841
28,2007-03-28_20-35-13,2007-04-01_01-18-20,0.7568557919621749
29,2007-04-01_01-18-20,2007-04-01_19-10-36,0.7828518710719025
30,2007-04-01_19-10-36,2007-04-04_23-41-35,0.6985981308411213
31,2007-04-04_23-41-35,2007-04-05_13-16-39,0.7340697674418606
32,2007-04-05_13-16-39,2007-04-05_20-26-28,0.7885465116279071
33,2007-04-05_20-26-28,2007-04-09_13-04-50,0.8288014311270123
34,2007-04-09_13-04-50,2007-04-10_23-03-30,0.7303537511870846
35,2007-04-10_23-03-30,2007-04-10_23-32-37,0.7879608146429492
36,2007-04-10_23-32-37,2007-04-13_10-00-12,0.7142772546929592
37,2007-04-13_10-00-12,2007-04-15_08-43-23,0.7539050987326851
38,2007-04-15_08-43-23,2007-04-28_16-48-04,0.7498853211009174
39,2007-04-28_16-48-04,2007-04-28_16-48-27,0.7096681922196796
40,2007-04-28_16-48-27,2007-05-02_21-39-29,0.7577548944825833
41,2007-05-02_21-39-29,2007-05-02_22-04-38,0.7537881130558475
42,2007-05-02_22-04-38,2007-05-08_17-27-17,0.7441513761467891
43,2007-05-08_17-27-17,2007-05-08_17-52-17,0.7867545871559631
44,2007-05-08_17-52-17,2007-05-15_23-57-46,0.7639035241774964
45,2007-05-15_23-57-46,2007-05-18_09-45-36,0.781934199742419
46,2007-05-18_09-45-36,2007-05-20_21-51-38,0.7976817702845099
47,2007-05-20_21-51-38,2007-05-21_23-30-54,0.7653085118838542
48,2007-05-21_23-30-54,2007-05-26_11-59-01,0.7966802418857213
49,2007-05-26_11-59-01,2007-05-30_00-29-55,0.7787190579187694
50,2007-05-30_00-29-55,2007-06-07_13-22-56,0.8160298005287194
51,2007-06-07_13-22-56,2007-06-08_08-02-53,0.7503770739064857
52,2007-06-08_08-02-53,2007-06-08_13-05-39,0.7382767382767382
53,2007-06-08_13-05-39,2007-06-10_15-08-44,0.7512390842577295
54,2007-06-10_15-08-44,2007-06-10_17-11-59,0.7719298245614034
55,2007-06-10_17-11-59,2007-06-10_18-04-54,0.7815063385533185
