compare,timestampA,timestampB,hungarian
0,2007-01-24_09-14-09,2007-01-24_09-32-19,0.63890392703952
1,2007-01-24_09-32-19,2007-01-24_09-32-42,0.6545621121892309
2,2007-01-24_09-32-42,2007-01-24_12-16-08,0.5988731678386853
3,2007-01-24_12-16-08,2007-01-24_14-34-35,0.570427357312603
4,2007-01-24_14-34-35,2007-01-24_14-50-27,0.6210979981471784
5,2007-01-24_14-50-27,2007-01-24_23-53-22,0.6317567567567567
6,2007-01-24_23-53-22,2007-01-26_09-03-23,0.5991697026179782
7,2007-01-26_09-03-23,2007-01-27_13-44-53,0.6133497133497134
8,2007-01-27_13-44-53,2007-01-29_23-56-13,0.6644499178981935
9,2007-01-29_23-56-13,2007-02-02_01-17-52,0.6101414894518344
10,2007-02-02_01-17-52,2007-02-02_16-06-02,0.6136802386802387
11,2007-02-02_16-06-02,2007-02-04_17-11-25,0.5348447712418299
12,2007-02-04_17-11-25,2007-02-04_17-21-55,0.6493892639022822
13,2007-02-04_17-21-55,2007-02-04_17-24-53,0.6198167791706847
14,2007-02-04_17-24-53,2007-02-06_19-28-50,0.6088184721198724
15,2007-02-06_19-28-50,2007-02-14_13-20-29,0.6515188733316957
16,2007-02-14_13-20-29,2007-02-27_21-15-08,0.6079898541534559
17,2007-02-27_21-15-08,2007-03-05_19-55-30,0.6350087412587411
18,2007-03-05_19-55-30,2007-03-09_16-56-38,0.556527944711538
19,2007-03-09_16-56-38,2007-03-10_16-58-49,0.5933035714285716
20,2007-03-10_16-58-49,2007-03-19_20-28-03,0.6232445520581117
21,2007-03-19_20-28-03,2007-03-24_15-37-57,0.618150544680154
22,2007-03-24_15-37-57,2007-03-25_21-50-18,0.6045922406967537
23,2007-03-25_21-50-18,2007-03-27_22-01-31,0.631867917915969
24,2007-03-27_22-01-31,2007-03-28_15-00-27,0.616236303731515
25,2007-03-28_15-00-27,2007-03-28_16-46-03,0.6442396313364054
26,2007-03-28_16-46-03,2007-03-28_16-48-40,0.6056082148499212
27,2007-03-28_16-48-40,2007-03-28_20-35-13,0.6275780549441591
28,2007-03-28_20-35-13,2007-04-01_01-18-20,0.6614657210401889
29,2007-04-01_01-18-20,2007-04-01_19-10-36,0.6572866620910548
30,2007-04-01_19-10-36,2007-04-04_23-41-35,0.5788362978595116
31,2007-04-04_23-41-35,2007-04-05_13-16-39,0.6260709914320685
32,2007-04-05_13-16-39,2007-04-05_20-26-28,0.6763432237369688
33,2007-04-05_20-26-28,2007-04-09_13-04-50,0.6687650360866079
34,2007-04-09_13-04-50,2007-04-10_23-03-30,0.5885802469135802
35,2007-04-10_23-03-30,2007-04-10_23-32-37,0.6269528228924981
36,2007-04-10_23-32-37,2007-04-13_10-00-12,0.5688606620477291
37,2007-04-13_10-00-12,2007-04-15_08-43-23,0.603776683087028
38,2007-04-15_08-43-23,2007-04-28_16-48-04,0.5900887351481424
39,2007-04-28_16-48-04,2007-04-28_16-48-27,0.6005927148591366
40,2007-04-28_16-48-27,2007-05-02_21-39-29,0.6298218372016996
41,2007-05-02_21-39-29,2007-05-02_22-04-38,0.5908932242175076
42,2007-05-02_22-04-38,2007-05-08_17-27-17,0.676376146788991
43,2007-05-08_17-27-17,2007-05-08_17-52-17,0.6136467889908258
44,2007-05-08_17-52-17,2007-05-15_23-57-46,0.6101007715320419
45,2007-05-15_23-57-46,2007-05-18_09-45-36,0.6227365769170208
46,2007-05-18_09-45-36,2007-05-20_21-51-38,0.5845142497244529
47,2007-05-20_21-51-38,2007-05-21_23-30-54,0.5702435312024353
48,2007-05-21_23-30-54,2007-05-26_11-59-01,0.6403203594984416
49,2007-05-26_11-59-01,2007-05-30_00-29-55,0.6768500398637384
50,2007-05-30_00-29-55,2007-06-07_13-22-56,0.6242082780969215
51,2007-06-07_13-22-56,2007-06-08_08-02-53,0.6177620983204235
52,2007-06-08_08-02-53,2007-06-08_13-05-39,0.6004795117698344
53,2007-06-08_13-05-39,2007-06-10_15-08-44,0.5961594098076088
54,2007-06-10_15-08-44,2007-06-10_17-11-59,0.6275357373070943
55,2007-06-10_17-11-59,2007-06-10_18-04-54,0.6723543017479997
56,2007-06-10_18-04-54,2007-06-11_16-31-55,0.602202868852459
57,2007-06-11_16-31-55,2007-06-12_08-12-33,0.6065759637188208
58,2007-06-12_08-12-33,2007-06-12_22-04-57,0.5972222222222222
59,2007-06-12_22-04-57,2007-06-13_07-34-15,0.6176814767279453
60,2007-06-13_07-34-15,2007-06-15_23-43-11,0.6051711826825511
61,2007-06-15_23-43-11,2007-06-16_00-30-52,0.5977342017738356
62,2007-06-16_00-30-52,2007-06-16_13-37-59,0.5760116407982263
63,2007-06-16_13-37-59,2007-06-16_13-56-51,0.6797155745852126
64,2007-06-16_13-56-51,2007-06-17_19-09-05,0.6492086550959554
65,2007-06-17_19-09-05,2007-06-19_11-24-47,0.6321921154496598
66,2007-06-19_11-24-47,2007-06-19_13-46-24,0.6735402808573541
67,2007-06-19_13-46-24,2007-06-19_22-22-57,0.6096976401179941
68,2007-06-19_22-22-57,2007-06-20_15-23-03,0.584141031043686
69,2007-06-20_15-23-03,2007-06-21_12-41-59,0.5726549633834402
70,2007-06-21_12-41-59,2007-07-01_17-05-57,0.5557099288376818
71,2007-07-01_17-05-57,2007-07-14_22-07-14,0.5604879701796003
72,2007-07-14_22-07-14,2007-07-15_19-27-48,0.6859108122729731
73,2007-07-15_19-27-48,2007-07-19_21-49-30,0.5918933525490908
74,2007-07-19_21-49-30,2007-07-20_21-28-41,0.583390380111692
75,2007-07-20_21-28-41,2007-07-23_14-03-30,0.6274953212726139
76,2007-07-23_14-03-30,2007-08-02_22-23-47,0.6340065502183406
77,2007-08-02_22-23-47,2007-08-12_21-05-49,0.5863889812045346
78,2007-08-12_21-05-49,2007-08-13_14-10-24,0.5968438653939941
79,2007-08-13_14-10-24,2007-08-14_16-45-29,0.6035323625722844
80,2007-08-14_16-45-29,2007-08-15_20-05-37,0.6395186734169784
81,2007-08-15_20-05-37,2007-08-21_10-26-55,0.5933405327573791
82,2007-08-21_10-26-55,2007-08-21_10-58-18,0.6110632183908049
83,2007-08-21_10-58-18,2007-08-25_18-25-24,0.5210622710622717
84,2007-08-25_18-25-24,2007-09-02_22-12-07,0.5966735966735967
85,2007-09-02_22-12-07,2007-09-08_16-51-19,0.570564167579093
86,2007-09-08_16-51-19,2007-09-15_13-28-30,0.6000000000000002
87,2007-09-15_13-28-30,2007-09-21_13-43-28,0.627258711069997
88,2007-09-21_13-43-28,2007-09-21_22-35-18,0.6199883073325332
89,2007-09-21_22-35-18,2007-09-22_20-51-41,0.666543585956491
90,2007-09-22_20-51-41,2007-09-29_22-26-01,0.5872328379334747
91,2007-09-29_22-26-01,2007-10-07_17-06-01,0.5579900920028309
92,2007-10-07_17-06-01,2007-10-07_17-06-26,0.5998030708637186
93,2007-10-07_17-06-26,2007-10-07_20-46-34,0.5954396067824217
94,2007-10-07_20-46-34,2007-10-13_03-36-03,0.6260070383619812
95,2007-10-13_03-36-03,2007-10-14_04-48-44,0.5760652071563088
96,2007-10-14_04-48-44,2007-10-14_04-55-59,0.6475884845463608
97,2007-10-14_04-55-59,2007-10-18_12-54-39,0.5902285035767039
98,2007-10-18_12-54-39,2007-10-20_00-17-34,0.629383996061282
99,2007-10-20_00-17-34,2007-10-29_19-33-26,0.6186708860759494
100,2007-10-29_19-33-26,2007-10-29_21-21-27,0.6451704869426388
101,2007-10-29_21-21-27,2007-11-04_15-43-26,0.6587125099783325
102,2007-11-04_15-43-26,2007-11-14_10-18-33,0.5894448449891854
103,2007-11-14_10-18-33,2007-11-15_07-02-55,0.6220032130499259
104,2007-11-15_07-02-55,2007-11-18_05-36-50,0.625215358109771
105,2007-11-18_05-36-50,2007-11-22_00-58-49,0.6098717566358486
106,2007-11-22_00-58-49,2007-11-22_01-10-41,0.6121238425925926
107,2007-11-22_01-10-41,2007-11-23_21-20-21,0.6176504629629632
108,2007-11-23_21-20-21,2007-11-23_23-28-55,0.6091964285714285
109,2007-11-23_23-28-55,2007-11-23_23-39-01,0.585529279279279
110,2007-11-23_23-39-01,2007-11-25_03-15-24,0.5985840310164637
111,2007-11-25_03-15-24,2007-11-28_19-23-12,0.6699657403882756
112,2007-11-28_19-23-12,2007-12-02_03-27-42,0.6168346176644933
113,2007-12-02_03-27-42,2007-12-02_08-56-53,0.6470551805288908
114,2007-12-02_08-56-53,2007-12-10_07-06-04,0.6113416320885204
115,2007-12-10_07-06-04,2007-12-22_15-40-13,0.6652930142670382
116,2007-12-22_15-40-13,2007-12-22_17-00-11,0.6345897501347176
117,2007-12-22_17-00-11,2007-12-24_14-09-19,0.6222358722358722
118,2007-12-24_14-09-19,2007-12-25_01-08-58,0.5866700033366697
119,2007-12-25_01-08-58,2007-12-25_04-30-14,0.6441758116140835
120,2007-12-25_04-30-14,2008-01-05_03-26-41,0.5899662709478662
121,2008-01-05_03-26-41,2008-01-06_06-27-17,0.5785993147956341
122,2008-01-06_06-27-17,2008-01-07_19-06-47,0.6170026292725681
123,2008-01-07_19-06-47,2008-01-08_20-32-12,0.6006255262841338
124,2008-01-08_20-32-12,2008-01-13_15-23-27,0.6414747636406748
125,2008-01-13_15-23-27,2008-01-13_18-43-50,0.600701516180131
126,2008-01-13_18-43-50,2008-01-14_16-10-11,0.6631025118805163
127,2008-01-14_16-10-11,2008-01-18_20-41-24,0.6369217340704103
128,2008-01-18_20-41-24,2008-01-28_22-47-03,0.6204994192799071
129,2008-01-28_22-47-03,2008-02-01_06-53-50,0.6168042739193783
130,2008-02-01_06-53-50,2008-02-01_23-25-32,0.6367223318236126
131,2008-02-01_23-25-32,2008-02-03_23-52-41,0.6365556142154549
132,2008-02-03_23-52-41,2008-02-04_13-12-16,0.5942008325255176
133,2008-02-04_13-12-16,2008-02-08_15-04-00,0.6103191731031349
134,2008-02-08_15-04-00,2008-02-08_18-24-54,0.6107205878098875
135,2008-02-08_18-24-54,2008-02-11_11-44-38,0.6196756756756754
136,2008-02-11_11-44-38,2008-02-13_16-52-00,0.6088108108108108
137,2008-02-13_16-52-00,2008-02-14_20-37-54,0.6212876712328765
138,2008-02-14_20-37-54,2008-02-15_02-27-19,0.6007123287671231
139,2008-02-15_02-27-19,2008-02-15_15-17-23,0.6110700056915196
140,2008-02-15_15-17-23,2008-02-16_23-28-42,0.6216415790968476
141,2008-02-16_23-28-42,2008-02-18_12-07-49,0.6010204081632654
142,2008-02-18_12-07-49,2008-02-18_21-08-49,0.5879493378179527
143,2008-02-18_21-08-49,2008-02-18_23-24-46,0.5803815429892791
144,2008-02-18_23-24-46,2008-02-19_02-57-07,0.6572252374491179
145,2008-02-19_02-57-07,2008-02-19_11-26-28,0.5913274807129557
146,2008-02-19_11-26-28,2008-02-19_11-36-22,0.619816513761468
147,2008-02-19_11-36-22,2008-02-19_23-42-22,0.5997121925693358
148,2008-02-19_23-42-22,2008-02-20_22-29-52,0.5837895377128952
149,2008-02-20_22-29-52,2008-02-22_22-24-48,0.5664284266017846
150,2008-02-22_22-24-48,2008-02-24_22-45-04,0.5434398034398036
151,2008-02-24_22-45-04,2008-02-24_23-32-36,0.5855036855036855
152,2008-02-24_23-32-36,2008-02-26_18-25-24,0.6041414141414141
153,2008-02-26_18-25-24,2008-02-26_20-13-52,0.6075741076830005
154,2008-02-26_20-13-52,2008-02-27_09-39-04,0.5880459770114942
155,2008-02-27_09-39-04,2008-02-27_11-54-59,0.6188654864969638
156,2008-02-27_11-54-59,2008-03-12_22-10-25,0.6268694231494284
157,2008-03-12_22-10-25,2008-03-17_09-10-39,0.5751166641577605
158,2008-03-17_09-10-39,2008-03-17_09-13-22,0.6603520857252203
159,2008-03-17_09-13-22,2008-03-17_09-17-27,0.5900854700854706
160,2008-03-17_09-17-27,2008-03-17_09-21-26,0.6251770451770456
161,2008-03-17_09-21-26,2008-03-17_09-25-05,0.5531372549019609
162,2008-03-17_09-25-05,2008-03-19_23-15-26,0.5819028297960883
163,2008-03-19_23-15-26,2008-03-20_16-04-36,0.6028950298613222
164,2008-03-20_16-04-36,2008-03-21_18-29-01,0.5952272497216321
165,2008-03-21_18-29-01,2008-03-25_01-17-40,0.6229827563511913
166,2008-03-25_01-17-40,2008-03-26_13-32-30,0.6214953271028036
