compare,timestampA,timestampB,hungarian
0,2007-01-24_09-14-09,2007-01-24_09-32-19,0.6049223337358933
1,2007-01-24_09-32-19,2007-01-24_09-32-42,0.609086744679965
2,2007-01-24_09-32-42,2007-01-24_12-16-08,0.6013301702956876
3,2007-01-24_12-16-08,2007-01-24_14-34-35,0.5941112498489545
4,2007-01-24_14-34-35,2007-01-24_14-50-27,0.5984613525597134
5,2007-01-24_14-50-27,2007-01-24_23-53-22,0.6068357318357318
6,2007-01-24_23-53-22,2007-01-26_09-03-23,0.6042955180886217
7,2007-01-26_09-03-23,2007-01-27_13-44-53,0.6054463554463555
8,2007-01-27_13-44-53,2007-01-29_23-56-13,0.6101806239737271
9,2007-01-29_23-56-13,2007-02-02_01-17-52,0.6084470049987292
10,2007-02-02_01-17-52,2007-02-02_16-06-02,0.596086346086346
11,2007-02-02_16-06-02,2007-02-04_17-11-25,0.58656045751634
12,2007-02-04_17-11-25,2007-02-04_17-21-55,0.6080038572806172
13,2007-02-04_17-21-55,2007-02-04_17-24-53,0.601775956284153
14,2007-02-04_17-24-53,2007-02-06_19-28-50,0.6012036354704005
15,2007-02-06_19-28-50,2007-02-14_13-20-29,0.6063620732006879
16,2007-02-14_13-20-29,2007-02-27_21-15-08,0.6054533925174382
17,2007-02-27_21-15-08,2007-03-05_19-55-30,0.6069930069930072
18,2007-03-05_19-55-30,2007-03-09_16-56-38,0.5874399038461543
19,2007-03-09_16-56-38,2007-03-10_16-58-49,0.6001488095238093
20,2007-03-10_16-58-49,2007-03-19_20-28-03,0.6073446327683617
21,2007-03-19_20-28-03,2007-03-24_15-37-57,0.605004504873454
22,2007-03-24_15-37-57,2007-03-25_21-50-18,0.5979018210609659
23,2007-03-25_21-50-18,2007-03-27_22-01-31,0.6028581441532649
24,2007-03-27_22-01-31,2007-03-28_15-00-27,0.6065818711209865
25,2007-03-28_15-00-27,2007-03-28_16-46-03,0.6061443932411674
26,2007-03-28_16-46-03,2007-03-28_16-48-40,0.6072274881516587
27,2007-03-28_16-48-40,2007-03-28_20-35-13,0.6083802070595907
28,2007-03-28_20-35-13,2007-04-01_01-18-20,0.6070527974783294
29,2007-04-01_01-18-20,2007-04-01_19-10-36,0.6059254175245941
30,2007-04-01_19-10-36,2007-04-04_23-41-35,0.5982062104311126
31,2007-04-04_23-41-35,2007-04-05_13-16-39,0.6061607507139944
32,2007-04-05_13-16-39,2007-04-05_20-26-28,0.6067762630312751
33,2007-04-05_20-26-28,2007-04-09_13-04-50,0.6009222133119487
34,2007-04-09_13-04-50,2007-04-10_23-03-30,0.5989583333333337
35,2007-04-10_23-03-30,2007-04-10_23-32-37,0.6084686774941995
36,2007-04-10_23-32-37,2007-04-13_10-00-12,0.5964973056197074
37,2007-04-13_10-00-12,2007-04-15_08-43-23,0.6009852216748769
38,2007-04-15_08-43-23,2007-04-28_16-48-04,0.5958038802827494
39,2007-04-28_16-48-04,2007-04-28_16-48-27,0.5953408110440034
40,2007-04-28_16-48-27,2007-05-02_21-39-29,0.6060395554102648
41,2007-05-02_21-39-29,2007-05-02_22-04-38,0.5995423340961099
42,2007-05-02_22-04-38,2007-05-08_17-27-17,0.6056957186544345
43,2007-05-08_17-27-17,2007-05-08_17-52-17,0.602140672782875
44,2007-05-08_17-52-17,2007-05-15_23-57-46,0.6005353487639741
45,2007-05-15_23-57-46,2007-05-18_09-45-36,0.6021886317115416
46,2007-05-18_09-45-36,2007-05-20_21-51-38,0.5947094945677844
47,2007-05-20_21-51-38,2007-05-21_23-30-54,0.5879375951293755
