compare,timestampA,timestampB,hungarian
0,2007-01-24_09-14-09,2007-01-24_09-32-19,0.6151105651105653
1,2007-01-24_09-32-19,2007-01-24_09-32-42,0.6157248157248156
2,2007-01-24_09-32-42,2007-01-24_12-16-08,0.6221886221886221
3,2007-01-24_12-16-08,2007-01-24_14-34-35,0.6163926163926163
4,2007-01-24_14-34-35,2007-01-24_14-50-27,0.6138626664942456
5,2007-01-24_14-50-27,2007-01-24_23-53-22,0.5963403594982541
6,2007-01-24_23-53-22,2007-01-26_09-03-23,0.603258761153498
7,2007-01-26_09-03-23,2007-01-27_13-44-53,0.6009695198884386
8,2007-01-27_13-44-53,2007-01-29_23-56-13,0.6263287529167747
9,2007-01-29_23-56-13,2007-02-02_01-17-52,0.5982154403207033
10,2007-02-02_01-17-52,2007-02-02_16-06-02,0.6120592336808552
11,2007-02-02_16-06-02,2007-02-04_17-11-25,0.5753533971728225
12,2007-02-04_17-11-25,2007-02-04_17-21-55,0.5927382580939353
13,2007-02-04_17-21-55,2007-02-04_17-24-53,0.6172794117647058
14,2007-02-04_17-24-53,2007-02-06_19-28-50,0.5874396135265701
15,2007-02-06_19-28-50,2007-02-14_13-20-29,0.5975473801560758
16,2007-02-14_13-20-29,2007-02-27_21-15-08,0.6047605054363796
17,2007-02-27_21-15-08,2007-03-05_19-55-30,0.6021927767354597
18,2007-03-05_19-55-30,2007-03-09_16-56-38,0.5932091346153847
19,2007-03-09_16-56-38,2007-03-10_16-58-49,0.5930451127819548
20,2007-03-10_16-58-49,2007-03-19_20-28-03,0.6057017543859651
21,2007-03-19_20-28-03,2007-03-24_15-37-57,0.5837748949387904
22,2007-03-24_15-37-57,2007-03-25_21-50-18,0.6028040090377151
23,2007-03-25_21-50-18,2007-03-27_22-01-31,0.600370778054574
24,2007-03-27_22-01-31,2007-03-28_15-00-27,0.594209411311549
25,2007-03-28_15-00-27,2007-03-28_16-46-03,0.60982905982906
26,2007-03-28_16-46-03,2007-03-28_16-48-40,0.6030501883582453
27,2007-03-28_16-48-40,2007-03-28_20-35-13,0.5689311932313051
